id,name,address,postcode,review count,rating
1,The Wilds Cafe,"27 E Barnet Rd, London, Barnet EN4 8RN, United Kingdom",EN4 8RN,138,4.4
2,GAIL's Bakery Barnet,"140 High St, London EN5 5XW, United Kingdom",EN5 5XW,179,4.8
3,4evercakes chocolate couture,"3 Chaseville Park Rd, Chaseville Parade, London N21 1PG, United Kingdom",N21 1PG,35,4.9
4,Apollo Bakery & Coffee Shop Cockfosters,"15 Heddon Court Cockfosters Rd, Barnet EN4 0DB, United Kingdom",EN4 0DB,130,4.5
5,The Artisan Cafe,"Oakwood Station, 151 Bramley Rd, London N14 4UT, United Kingdom",N14 4UT,36,4.3
6,At Sophie’s,"3 Cat Hill, London, Barnet EN4 8HG, United Kingdom",EN4 8HG,93,4.7
7,Oak Hill Park Cafe,"Oak Hill Park Cafe, Parkside Gardens, Barnet EN4 8JP, United Kingdom",EN4 8JP,476,4.6
8,The Old Courthouse Café,"Old Courthouse Recreation Grounds, Manor Cl, Barnet EN5 4BE, United Kingdom",EN5 4BE,220,4.4
9,Sunshine Garden Cafe,"41 E Barnet Rd, London, Barnet EN4 8RN, United Kingdom",EN4 8RN,46,4.5
10,Patisserie Joie De Vie,"96 High St, Chipping Barnet, Barnet EN5 5SN, United Kingdom",EN5 5SN,534,4.4
11,Bean Cafe Bistro,"251 E Barnet Rd, London, Barnet EN4 8SS, United Kingdom",EN4 8SS,119,4.9
12,Roasta Cafe & Grill,"661 Watford Wy, London NW7 3JR, United Kingdom",NW7 3JR,117,4.3
13,Oakleigh Café,"408 Oakleigh Rd N, London N20 0SG, United Kingdom",N20 0SG,115,4.4
14,Wake Up Lounge,"49 Cannon Hill, London N14 6LH, United Kingdom",N14 6LH,20,4.7
15,Huddle Caffè,"224B High St, Hadley, Barnet EN5 5SZ, United Kingdom",EN5 5SZ,218,4.4
16,The House Café,"Christ Church House, 1B Chalk Ln, Cockfosters, Barnet EN4 9JQ, United Kingdom",EN4 9JQ,19,4.8
17,Ferny Hill Farm,"Ferny Hill Farm, Ferny Hill, Hadley Wood, Barnet EN4 0PZ, United Kingdom",EN4 0PZ,612,4.3
18,Tea & Toast Cafe,"57 E Barnet Rd, London, Barnet EN4 8RN, United Kingdom",EN4 8RN,139,4.3
19,Em's Coffee,"1336 High Rd, London N20 9HJ, United Kingdom",N20 9HJ,439,4.7
20,Rise and Shine Cafe,"2, Exchange Buildings, Barnet EN5 5SY, United Kingdom",EN5 5SY,108,4.4
21,Popular Cafe,"1268 High Rd, London N20 9HH, United Kingdom",N20 9HH,109,4.7
22,Foulis Cafe,"82 Brunswick Way, London N11 1JJ, United Kingdom",N11 1JJ,228,4.7
23,Ashfield Café,"21 Ashfield Parade, London N14 5EH, United Kingdom",N14 5EH,150,4.5
24,Barnet Cafe,"80-82 High St, Chipping Barnet, Barnet EN5 5SN, United Kingdom",EN5 5SN,254,4.2
25,Chunk of green cafe,"25 Ashfield Parade, London N14 5EH, United Kingdom",N14 5EH,190,4.6
26,Theo's Cafe and Grill,"12 Plantagenet Rd, Barnet EN5 5JG, United Kingdom",EN5 5JG,110,4.7
27,Gamberini,"183 Bramley Rd, London N14 4XA, United Kingdom",N14 4XA,198,3.7
28,Mr Munchies,"10 Enfield Rd, Enfield EN2 7HW, United Kingdom",EN2 7HW,119,4.6
29,Cibo Bar Cafeteria,"28 Cannon Hill, London N14 6LG, United Kingdom",N14 6LG,178,4.6
30,Oakwood Park Cafe,"Lakenheath, London N14 4RY, United Kingdom",N14 4RY,462,3.7
31,kozzy Breakfast Bar,"90 Crown Ln, London N14 5EN, United Kingdom",N14 5EN,284,4.7
32,Potters Pantry,"4 Potters Rd, Barnet EN5 5HW, United Kingdom",EN5 5HW,236,5
33,cafe no 41,"41 Church Hill Rd, London, Barnet EN4 8SY, United Kingdom",EN4 8SY,152,4.4
34,Vibe Cafe,"6, Greenhill Parade, Great N Rd, London, New Barnet, Barnet EN5 1ES, United Kingdom",EN5 1ES,282,4.9
35,The Hole In The Wall Cafe,"87 Great N Rd, New Barnet, Barnet EN5 1AU, United Kingdom",EN5 1AU,195,4.4
36,Marley’s Bakery,"Marley’s Bakery, 10 Union St, Chipping Barnet, Barnet EN5 4HZ, United Kingdom",EN5 4HZ,75,5
37,Urban Grind,"11 Lytton Rd, New Barnet, Barnet EN5 5BX, United Kingdom",EN5 5BX,208,4.8
38,The Redwood Cafe,"Swan Lane Open Space, Swan Lane, Whetstone, London N20 0PR, United Kingdom",N20 0PR,163,4.7
39,Shiraz cafe,"Totteridge Ln, London N20 9QP, United Kingdom",N20 9QP,35,3.6
40,Angel Cafe New Barnet Great coffee/Bubble tea/Smoothies/Snacks,"ANGEL CAFE NEW, LEISURE CENTRE, 1 Lawton Rd, London, Barnet EN4 9BS, United Kingdom",EN4 9BS,182,4.8
41,honey & cream,"1367 High Rd, London N20 9LN, United Kingdom",N20 9LN,104,4.7
42,IZABELLA CAFE & PATISSERIE SOUTHGATE,"6A Chase Side, London N14 5PA, United Kingdom",N14 5PA,53,
43,Greek art bakery,"11d High St, Barnet EN5 5UJ, United Kingdom",EN5 5UJ,33,4.7
44,Cafe calla,"Great N Rd, New Barnet, Barnet EN5 1AD, United Kingdom",EN5 1AD,9,
45,Cafe Mona Lisa,"1180 High Rd, London N20 0LH, United Kingdom",N20 0LH,115,4.7
46,AM Bistro Cafe,"938 High Rd, London N12 9RT, United Kingdom",N12 9RT,96,4.8
47,The Summerhouse,"28 Burtonhole Ln, London NW7 1AS, United Kingdom",NW7 1AS,75,4.7
48,Old Bank Coffee House,"253 E Barnet Rd, London, Barnet EN4 8ST, United Kingdom",EN4 8ST,219,4.3
49,Cafe time,"Barnet EN5 5EY, United Kingdom",,20,4.4
50,Holtwhites Bakery Palmers Green,"66 Aldermans Hill, London N13 4PP, United Kingdom",N13 4PP,177,4.1
51,Oak Caffe,"22 Church Rd, Stanmore HA7 4AW, United Kingdom",HA7 4AW,1097,4.7
52,Holybella,"860 High Rd, London N12 9RH, United Kingdom",N12 9RH,583,4.6
53,Barwell Cafe,"202 Leatherhead Rd, Chessington KT9 2HU, United Kingdom",KT9 2HU,36,4.9
54,GARDENYA CAFE,"127 Burnt Ash Ln, Bromley BR1 5AB, United Kingdom",BR1 5AB,165,4.9
55,The Park Cafe,"342 Crofton Rd, Locksbottom, Orpington BR6 8NN, United Kingdom",BR6 8NN,171,4.6
56,Raife's Coffee And Artisan Bakery,"5 Red Lodge Rd, West Wickham BR4 0EL, United Kingdom",BR4 0EL,85,4.7
57,The Green Bird Cafe,"251 Eden Park Ave, Beckenham BR3 3JN, United Kingdom",BR3 3JN,15,4.6
58,Maria's Coffee Sandwich Bar,"115-117 High St, Beckenham BR3 1AG, United Kingdom",BR3 1AG,96,4
59,Rosie Lee's Cafe,"147 Anerley Rd, Greater, Anerley, London SE20 8EF, United Kingdom",SE20 8EF,220,4.6
60,Cafe Venezia,"8 Chaseville Parade, Chaseville Park Rd, London N21 1PG, United Kingdom",N21 1PG,116,4.7
61,Café Qualitá,"Princess Royal University Hospital, Farnborough Common, Orpington, United Kingdom",,26,4
